Course Name,State,Tee Colour,Gender,Slope Rating,Course Rating,Par Total,Hole 1 Par,Hole 1 SI,Hole 2 Par,Hole 2 SI,Hole 3 Par,Hole 3 SI,Hole 4 Par,Hole 4 SI,Hole 5 Par,Hole 5 SI,Hole 6 Par,Hole 6 SI,Hole 7 Par,Hole 7 SI,Hole 8 Par,Hole 8 SI,Hole 9 Par,Hole 9 SI,Hole 10 Par,Hole 10 SI,Hole 11 Par,Hole 11 SI,Hole 12 Par,Hole 12 SI,Hole 13 Par,Hole 13 SI,Hole 14 Par,Hole 14 SI,Hole 15 Par,Hole 15 SI,Hole 16 Par,Hole 16 SI,Hole 17 Par,Hole 17 SI,Hole 18 Par,Hole 18 SI
Beverley Park,NSW,Blue,Male,122,69.1,70,5,12,4,4,3,15,4,14,4,9,4,10,4,3,4,8,4,5,4,11,3,7,5,2,3,16,4,13,4,17,4,1,3,6,4,18
Beverley Park,NSW,Red,Male,123,71.8,70,5,9,4,10,3,2,4,18,4,13,4,11,4,3,4,7,4,5,4,14,3,4,5,17,3,12,4,6,4,15,4,1,3,8,4,16
Beverley Park,NSW,White,Female,131,74.3,72,5,2,4,15,4,18,4,8,4,4,4,5,4,3,4,13,4,10,4,9,4,11,5,1,3,17,4,7,4,12,4,6,3,14,4,16
Beverley Park,NSW,Red,Female,124,74.4,72,5,2,4,15,4,18,4,8,4,4,4,5,4,3,4,13,4,10,4,9,4,11,5,1,3,17,4,7,4,12,4,6,3,14,4,16
Coolangatta Tweed River,NSW,Blue,Male,120,71.5,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta Tweed River,NSW,White,Male,119,70.9,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta Tweed River,NSW,Yellow,Male,117,69.5,72,5,12,4,16,3,18,4,2,4,14,5,8,3,10,4,6,4,4,3,15,4,13,4,11,4,5,5,17,4,1,4,3,3,7,5,9
Coolangatta Tweed River,NSW,Red,Female,127,73.4,73,5,8,4,10,3,16,4,4,4,14,5,12,3,18,4,2,4,6,3,15,4,11,4,7,4,5,5,9,5,13,4,3,3,17,5,1
Coolangatta Tweed West,NSW,Blue,Male,129,71.6,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
Coolangatta Tweed West,NSW,White,Male,128,70.6,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
Coolangatta Tweed West,NSW,Yellow,Male,125,69.9,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
Coolangatta Tweed West,NSW,Red,Female,128,73.9,72,5,10,4,4,3,8,5,16,4,2,3,14,4,12,3,18,5,6,5,15,4,3,4,1,4,7,4,13,3,17,4,5,3,11,5,9
Maclean Golf Club,NSW,Members,Male,128,71.4,72,5,18,3,12,4,4,4,6,4,10,4,8,3,14,4,2,4,16,4,15,3,17,4,3,5,13,5,11,4,5,4,1,3,7,5,9
Maclean Golf Club,NSW,Ladies,Male,122,71.2,72,5,18,3,12,4,4,4,6,4,10,4,8,3,14,4,2,4,16,4,15,3,17,4,3,5,13,5,11,4,5,4,1,3,7,5,9
Maclean Golf Club,NSW,Members,Female,135,76.4,72,5,5,3,16,4,7,4,9,4,11,4,13,3,17,4,1,4,10,4,12,3,18,4,2,5,3,5,6,4,8,4,4,3,14,5,15
Maclean Golf Club,NSW,Ladies,Female,127,73.8,72,5,5,3,16,4,7,4,9,4,11,4,13,3,17,4,1,4,10,4,12,3,18,4,2,5,3,5,6,4,8,4,4,3,14,5,15
Kareela Golf Club,NSW,Blue,Male,121,64,65,3,9,3,11,4,6,4,4,4,5,4,8,4,15,3,18,3,17,3,2,4,1,3,13,5,10,4,14,4,12,4,3,3,7,3,16
Kareela Golf Club,NSW,Blue,Female,118,70,67,3,9,3,11,4,6,4,4,4,5,4,8,4,15,3,18,3,17,3,2,4,1,3,13,5,10,4,14,4,12,4,3,4,7,4,16
Kareela Golf Club,NSW,Pink,Female,115,68,66,3,9,3,11,4,6,4,4,4,5,4,8,4,15,3,18,3,17,3,2,4,1,3,13,5,10,4,14,4,12,4,3,3,7,4,16
Kareela Golf Club,NSW,Pink,Male,118,63,65,3,9,3,11,4,6,4,4,4,5,4,8,4,15,3,18,3,17,3,2,4,1,3,13,5,10,4,14,4,12,4,3,3,7,3,16
Chinderah Golf Course,NSW,Blue,Male,88,58,61,4,7,3,9,3,5,3,16,3,17,4,6,4,18,3,8,3,13,3,10,4,2,3,14,3,15,4,4,4,3,3,12,4,1,3,11
Chinderah Golf Course,NSW,Red,Female,83,58,61,4,3,3,6,3,18,3,17,3,12,4,4,4,5,3,8,3,13,3,10,4,15,3,14,3,7,4,2,4,1,3,9,4,16,3,11
Woolooware Golf Club,NSW,Black,Male,132,70.1,70,4,3,4,1,4,5,3,17,4,13,4,11,4,9,5,15,3,7,3,18,4,10,5,8,4,2,5,16,4,14,3,12,3,4,4,6
Woolooware Golf Club,NSW,Blue,Male,129,69.1,70,4,3,4,1,4,5,3,17,4,13,4,11,4,9,5,15,3,7,3,18,4,10,5,8,4,2,5,16,4,14,3,12,3,4,4,6
Woolooware Golf Club,NSW,White,Male,124,67.8,70,4,3,4,1,4,5,3,17,4,13,4,11,4,9,5,15,3,7,3,18,4,10,5,8,4,2,5,16,4,14,3,12,3,4,4,6
Woolooware Golf Club,NSW,Yellow,Male,122,66.4,70,4,3,4,1,4,5,3,17,4,13,4,11,4,9,5,15,3,7,3,18,4,10,5,8,4,2,5,16,4,14,3,12,3,4,4,6
Woolooware Golf Club,NSW,Yellow,Female,125,72.7,74,4,3,4,1,4,5,4,17,4,13,4,11,4,9,5,15,3,7,4,18,4,10,5,8,4,2,5,16,4,14,4,12,4,4,4,6
South West Rocks,NSW,White,Male,138,69.8,72,4,4,3,8,5,6,3,10,4,2,4,18,4,14,4,16,5,12,4,11,4,3,5,17,4,5,3,9,4,1,3,13,4,7,5,15
South West Rocks,NSW,White,Female,132,75,72,4,6,3,18,5,8,3,16,4,2,4,14,4,10,4,12,5,4,4,1,4,5,5,9,4,7,3,13,4,3,3,17,4,15,5,11
South West Rocks,NSW,Yellow,Male,127,66.5,72,4,4,3,8,5,6,3,10,4,2,4,18,4,14,4,16,5,12,4,11,4,3,5,17,4,5,3,9,4,1,3,13,4,7,5,15
South West Rocks,NSW,Yellow,Female,135,71.3,72,4,6,3,18,5,8,3,16,4,2,4,14,4,10,4,12,5,4,4,1,4,5,5,9,4,7,3,13,4,3,3,17,4,15,5,11
South West Rocks,NSW,Red,Male,121,70.7,72,4,4,3,8,5,6,3,10,4,2,4,18,4,14,4,16,5,12,4,11,4,3,5,17,4,5,3,9,4,1,3,13,4,7,5,15
South West Rocks,NSW,Red,Female,138,72.7,72,4,6,3,18,5,8,3,16,4,2,4,14,4,10,4,12,5,4,4,1,4,5,5,9,4,7,3,13,4,3,3,17,4,15,5,11
Bankstown Golf Club,NSW,Black,Male,133,72,71,4,12,5,5,3,17,4,4,4,6,5,14,3,13,4,7,4,10,4,1,3,11,5,15,3,16,5,2,3,18,4,3,4,8,4,9
Bankstown Golf Club,NSW,Blue,Male,129,71,71,4,12,5,5,3,17,4,4,4,6,5,14,3,13,4,7,4,10,4,1,3,11,5,15,3,16,5,2,3,18,4,3,4,8,4,9
